case	verdict	max_abs_diff	ssim	tol_max	tol_ssim	source	golden
oilPaint_mode_daubs	NEAR	108.0	0.99999	110.0	0.98	sweep	parity/out/oilPaint_mode_daubs.golden.png
oilPaint_mode_dryBrush	NEAR	37.0	0.99999	110.0	0.98	sweep	parity/out/oilPaint_mode_dryBrush.golden.png
oilPaint_mode_facet	NEAR	19.0	0.99998	110.0	0.98	sweep	parity/out/oilPaint_mode_facet.golden.png
oilPaint_mode_fresco	NEAR	48.0	0.99998	110.0	0.98	sweep	parity/out/oilPaint_mode_fresco.golden.png
oilPaint_mode_knife	NEAR	27.0	0.99998	110.0	0.98	sweep	parity/out/oilPaint_mode_knife.golden.png
oilPaint_mode_sponge	NEAR	43.0	0.99998	110.0	0.98	sweep	parity/out/oilPaint_mode_sponge.golden.png
osc2d	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/osc2d.golden.png
osd	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/osd.golden.png
outline	PASS	1.0	0.99996	2.001	0.98	sweep	parity/out/outline.golden.png
palette	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/palette.golden.png
parallax	NEAR	22.0	0.99998	24.0	0.98	sweep	parity/out/parallax.golden.png
patchwork	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/patchwork.golden.png
pattern	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/pattern.golden.png
patternMix	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/patternMix.golden.png
perlin	PASS	1.0	0.99993	2.001	0.98	sweep	parity/out/perlin.golden.png
photocopy	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/photocopy.golden.png
pinch	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pinch.golden.png
pixelSort	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pixelSort.golden.png
pixels	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pixels.golden.png
plasticWrap	NEAR	20.0	0.99998	24.0	0.98	sweep	parity/out/plasticWrap.golden.png
polar	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/polar.golden.png
polygon	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/polygon.golden.png
pondRipples	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pondRipples.golden.png
pondRipples_amount_100	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pondRipples_amount_100.golden.png
pondRipples_style_aroundCenter	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pondRipples_style_aroundCenter.golden.png
pondRipples_style_outFromCenter	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pondRipples_style_outFromCenter.golden.png
pondRipples_style_pondRipples	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pondRipples_style_pondRipples.golden.png
pondRipples_wrap_clamp	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pondRipples_wrap_clamp.golden.png
pondRipples_wrap_mirror	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pondRipples_wrap_mirror.golden.png
pondRipples_wrap_repeat	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/pondRipples_wrap_repeat.golden.png
posterize	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/posterize.golden.png
prismaticAberration	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/prismaticAberration.golden.png
reactionDiffusion.f0001	PASS	1.0	0.99977	2.001	0.98	accumulate	parity/out/reactionDiffusion.f0001.golden.png
reactionDiffusion.f0002	PASS	1.0	0.99981	2.001	0.98	accumulate	parity/out/reactionDiffusion.f0002.golden.png
reactionDiffusion.f0008	CHAOS	41.0	0.98793	255.0	0.0	accumulate	parity/out/reactionDiffusion.f0008.golden.png
refract	NEAR	6.0	0.99998	8.0	0.98	sweep	parity/out/refract.golden.png
reindex	PASS	1.0	0.99996	2.001	0.98	sweep	parity/out/reindex.golden.png
relief	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/relief.golden.png
relief_mode_basRelief	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/relief_mode_basRelief.golden.png
relief_mode_notePaper	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/relief_mode_notePaper.golden.png
relief_mode_plaster	NEAR	3.0	0.99999	3.0	0.98	sweep	parity/out/relief_mode_plaster.golden.png
remap	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/remap.golden.png
repeat	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/repeat.golden.png
reverb	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/reverb.golden.png
ridge	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/ridge.golden.png
rotate	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/rotate.golden.png
sacredGeometry	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/sacredGeometry.golden.png
scale	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/scale.golden.png
scanlineError	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/scanlineError.golden.png
scatter	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/scatter.golden.png
scatter_mode_anisotropic	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/scatter_mode_anisotropic.golden.png
scatter_mode_clumped	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/scatter_mode_clumped.golden.png
scatter_mode_darkenOnly	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/scatter_mode_darkenOnly.golden.png
scatter_mode_lightenOnly	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/scatter_mode_lightenOnly.golden.png
scatter_mode_normal	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/scatter_mode_normal.golden.png
scratches	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/scratches.golden.png
scroll	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/scroll.golden.png
seamless	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/seamless.golden.png
shadow	NEAR	249.0	0.99922	255.0	0.99	sweep	parity/out/shadow.golden.png
shape	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/shape.golden.png
shapeMask	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/shapeMask.golden.png
shapeMixer	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/shapeMixer.golden.png
shapes3d	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/shapes3d.golden.png
sharpen	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/sharpen.golden.png
simpleAberration	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/simpleAberration.golden.png
sine	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/sine.golden.png
skew	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/skew.golden.png
smooth	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/smooth.golden.png
